"","Source Id","Source Name","Author","Title","Description","Content"
"1","techcrunch","TechCrunch","Sarah Perez","Google launches CallJoy, a virtual customer service phone agent for small businesses","Google is combining several technologies including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. The company’s latest project from its in-…","Google is combining several technologies including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. The company’s latest project from its in-… [+3626 chars]"
"2",NA,"Gizmodo.com","Catie Keck","Facebook Sues South Korean Analytics Company to Send a 'Message' That It Means Business Now","Facebook has filed a lawsuit against South Korean data analytics company Rankwave over a breach of contract after the company allegedly failed to prove that it was complying with Facebook’s data policies. Read more...","Facebook has filed a lawsuit against South Korean data analytics company Rankwave over a breach of contract after the company allegedly failed to prove that it was complying with Facebooks data policies.
The lawsuit was filed Friday in a California superior … [+1930 chars]"
"3","techcrunch","TechCrunch","Ron Miller","Sisense acquires Periscope Data to build integrated data science and analytics solution","Sisense announced today that it has acquired Periscope Data to create what it is calling, a complete data science and analytics platform for customers. The companies did not disclose the purchase price. The two company CEOs met about 18 months ago at a confer…","Sisense announced today that it has acquired Periscope Data to create what it is calling, a complete data science and analytics platform for customers. The companies did not disclose the purchase price.
The two company CEOs met about 18 months ago at a confe… [+2802 chars]"
"4",NA,"Readwrite.com","Sawyer Bateman","Building a Predictive Analytics Model From Scratch","There’s a lot of talk right now about the potential value AI can bring to businesses, and the logistics business – because of its complexity and how much e-commerce depends on it – is no exception. Imagine your e-commerce business needs to ship an order from …",NA
"5",NA,"Slashdot.org","BeauHD","Facebook Sues Analytics Firm Rankwave Over Data Misuse","Facebook revealed last Friday that it has filed a lawsuit alleging South Korean analytics firm Rankwave abused its developer platform's data, and has refused to cooperate with a mandatory compliance audit and request to delete the data. TechCrunch reports: Fa…","Facebook's lawsuit centers around Rankwave offering to help businesses build a Facebook authorization step into their apps so they can pass all the user data to Rankwave, which then analyzes biographic and behavioral traits to supply user contact info and ad … [+1165 chars]"
"6","techcrunch","TechCrunch","Anthony Ha","Chive Media’s out-of-home TV spinoff Atmosphere raises $10M","When Chive Media Group spun out its out-of-home TV business last year, co-founder and CEO Leo Resig said the structure should help the new company, called Atmosphere, raise venture capital. Looks like those fundraising efforts were successful, with Atmosphere…","When Chive Media Group spun out its out-of-home TV business last year, co-founder and CEO Leo Resig said the structure should help the new company, called Atmosphere, raise venture capital.
Looks like those fundraising efforts were successful, with Atmospher… [+2880 chars]"
"7","techcrunch","TechCrunch","Natasha Lomas","Adtech veteran Quantcast is latest tech giant to face GDPR privacy probe","Another tech giant is under investigation in Europe for potential privacy breaches of the General Data Protection Regulation (GDPR), TechCrunch has learnt. The Irish Data Protection Commission (DPC), which is the lead data protection regulator for most multin…","Another tech giant is under investigation in Europe for potential privacy breaches of the General Data Protection Regulation (GDPR), TechCrunch has learnt.
The Irish Data Protection Commission (DPC), which is the lead data protection regulator for most multi… [+3361 chars]"
"8","techcrunch","TechCrunch","Ron Miller","Oracle turns to innovation hubs to drive cultural and business shift to cloud","Oracle was founded in 1977. While it’s not exactly IBM or GE, both of which date back to the late 19th and early 20th centuries respectively, it is old enough to be experiencing a fair bit of disruption in its own right. For a good part of its existence, it s…","Oracle was founded in 1977. While it’s not exactly IBM or GE, both of which date back to the late 19th and early 20th centuries respectively, it is old enough to be experiencing a fair bit of disruption in its own right. For a good part of its existence, it s… [+10316 chars]"
"9",NA,"Entrepreneur.com","MaRS Discovery District","How Consumer Feedback Helped Lead to This Company's Redesign and Pivot","Sometimes, the pivot in your business model is just a short leap from your original idea.","April
24, 2019
2 min read
Opinions expressed by Entrepreneur contributors are their own.
In this video, CEO of Loom Analytics Mona Datt talks with Entrepreneur Network partner Mars Discovery District about the changing nature of the company's product. Loo… [+1366 chars]"
"10","business-insider","Business Insider","Nicole Phillips","Insider Inc. is hiring a Director of Subscription Lifecycle Marketing","Insider Inc. is hiring a Director of Subscription Lifecycle Marketing to lead our marketing initiatives to generate and retain subscribers. As Director, Subscription Lifecycle Marketing, you will lead a digital marketing team and be the driving force behind m…","Shutterstock/Syda Productions 
Insider Inc. is hiring a Director of Subscription Lifecycle Marketing to lead our marketing initiatives to generate and retain subscribers.
 As Director, Subscription Lifecycle Marketing, you will lead a digital marketing team… [+2810 chars]"
"11",NA,"Slashdot.org","msmash","Google Launches CallJoy, a Virtual Customer Service Phone Agent For Small Businesses","Google is combining several technologies, including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. From a report: The company's latest proj…","To err is human, to forgive, beyond the scope of the Operating System."
