"movie.name","movie.cast","movie.link","year","votes","rating"
"The Shawshank Redemption","Frank Darabont (dir.), Tim Robbins, Morgan Freeman","http://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1","1994",2072216,9.2
"The Godfather","Francis Ford Coppola (dir.), Marlon Brando, Al Pacino","http://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2","1972",1421841,9.2
"The Godfather: Part II","Francis Ford Coppola (dir.), Al Pacino, Robert De Niro","http://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3","1974",986707,9
"The Dark Knight","Christopher Nolan (dir.), Christian Bale, Heath Ledger","http://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4","2008",2038176,9
"12 Angry Men","Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb","http://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5","1957",585319,8.9
"Schindler's List","Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes","http://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6","1993",1073928,8.9
"The Lord of the Rings: The Return of the King","Peter Jackson (dir.), Elijah Wood, Viggo Mortensen","http://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7","2003",1475213,8.9
"Pulp Fiction","Quentin Tarantino (dir.), John Travolta, Uma Thurman","http://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8","1994",1620497,8.9
"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach","http://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9","1966",615028,8.8
"Fight Club","David Fincher (dir.), Brad Pitt, Edward Norton","http://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10","1999",1658236,8.8
"The Lord of the Rings: The Fellowship of the Ring","Peter Jackson (dir.), Elijah Wood, Ian McKellen","http://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11","2001",1491773,8.8
"Forrest Gump","Robert Zemeckis (dir.), Tom Hanks, Robin Wright","http://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12","1994",1588529,8.7
"Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner (dir.), Mark Hamill, Harrison Ford","http://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13","1980",1039775,8.7
"Inception","Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt","http://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=CVSDHETYGM3HF1NMDHV8&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14","2010",1816795,8.7
