Sr. No.,Workex,,,
1,107.0000,,,
2,208.0000,,,
3,136.0000,,,
4,103.0000,,,
5,79.0000,,,
6,22.0000,,,
7,69.0000,,,
8,41.0000,,,
9,69.0000,,,
10,20.0000,,,
11,21.0000,,,
12,19.0000,,,
13,231.0000,,,
14,20.0000,,,
15,175.0000,,,
16,21.0000,,,
17,44.0000,,,
18,23.0000,,,
19,20.0000,,,
20,70.0000,,,
21,46.0000,,,
22,33.0000,,,
23,57.0000,,,
24,55.0000,,,
25,42.0000,,,
26,55.0000,,,
27,44.0000,,,
28,45.0000,,,
29,38.0000,,,
30,44.0000,,,
31,83.0000,,,
32,118.0000,,,
33,77.0000,,,
34,61.0000,,,
35,47.0000,,,
36,69.0000,,,
37,59.0000,,,
38,32.0000,,,
39,74.0000,,,
40,279.0000,,,
41,33.0000,,,
42,33.0000,,,
43,34.0000,,,
44,110.0000,,,
45,46.0000,,,
46,58.0000,,,
47,34.0000,,,
48,45.0000,,,
49,72.0000,,,
50,77.0000,,,
51,43.0000,,,
52,92.0000,,,
53,90.0000,,,
54,66.0000,,,
55,38.0000,,,
56,57.0000,,,
57,31.0000,,,
58,58.0000,,,
59,68.0000,,,
60,71.0000,,,
61,68.0000,,,
62,32.0000,,,
63,32.0000,,,
64,45.0000,,,
65,69.0000,,,
66,65.0000,,,
67,45.0000,,,
68,92.0000,,,
69,69.0000,,,
70,32.0000,,,
71,59.0000,,,
72,44.0000,,,
73,46.0000,,,
74,33.0000,,,
75,46.0000,,,
76,82.0000,,,
77,53.0000,,,
78,33.0000,,,
79,34.0000,,,
80,37.0000,,,
81,55.0000,,,
82,52.0000,,,
83,51.0000,,,
84,69.0000,,,
85,56.0000,,,
86,45.0000,,,
87,56.0000,,,
88,55.0000,,,
89,31.0000,,,
90,46.0000,,,
91,58.0000,,,
92,58.0000,,,
93,27.0000,,,
94,34.0000,,,
95,34.0000,,,
96,45.0000,,,
97,34.0000,,,
98,46.0000,,,
99,45.0000,,,
100,56.0000,,,
101,33.0000,,,
102,44.0000,,,
103,33.0000,,,
104,126.0000,,,
105,80.0000,,,
106,80.0000,,,
107,45.0000,,,
108,45.0000,,,
109,68.0000,,,
110,58.0000,,,
111,45.0000,,,
112,80.0000,,,
113,130.0000,,,
114,34.0000,,,
115,80.0000,,,
116,48.0000,,,
117,45.0000,,,
118,40.0000,,,
119,58.0000,,,
120,68.0000,,,
121,53.0000,,,
122,45.0000,,,
123,46.0000,,,
124,77.0000,,,
125,68.0000,,,
126,54.0000,,,
127,58.0000,,,
128,59.0000,,,
129,38.0000,,,
130,96.0000,,,
131,44.0000,,,
132,50.0000,,,
133,91.0000,,,
134,117.0000,,,
135,58.0000,,,
136,57.0000,,,
137,57.0000,,,
138,57.0000,,,
139,32.0000,,,
140,33.0000,,,
141,41.0000,,,
142,70.0000,,,
143,45.0000,,,
144,90.0000,,,
145,33.0000,,,
146,46.0000,,,
147,45.0000,,,
148,45.0000,,,
149,79.0000,,,
150,109.0000,,,
151,53.0000,,,
152,44.0000,,,
153,33.0000,,,
154,44.0000,,,
155,51.0000,,,
156,57.0000,,,
157,66.0000,,,
158,44.0000,,,
159,50.0000,,,
160,30.0000,,,
161,128.0000,,,
162,45.0000,,,
163,33.0000,,,
164,35.0000,,,
165,33.0000,,,
166,58.0000,,,
167,49.0000,,,
168,57.0000,,,
169,45.0000,,,
170,63.0000,,,
171,81.0000,,,
172,56.0000,,,
173,45.0000,,,
174,45.0000,,,
175,69.0000,,,
176,45.0000,,,
177,70.0000,,,
178,33.0000,,,
179,43.0000,,,
180,34.0000,,,
181,47.0000,,,
182,57.0000,,,
183,70.0000,,,
184,93.0000,,,
185,92.0000,,,
186,32.0000,,,
187,80.0000,,,
188,55.0000,,,
189,46.0000,,,
190,66.0000,,,
191,65.0000,,,
192,42.0000,,,
193,71.0000,,,
194,30.0000,,,
195,45.0000,,,
196,91.0000,,,
197,46.0000,,,
198,44.0000,,,
199,74.0000,,,
200,45.0000,,,
201,112.0000,,,
