Responders,Innovator,Use Message,Use Cell,Use PIM,Inf Passive,Inf Active,Remote Access,Share Inf,Monitor,Email,Web,Mmedia,Ergonomic,Monthly,Price
1,4,1,5,7,4,6,3,1,4,5,5,6,4,15,280
2,5,4,7,5,6,5,6,5,4,7,3,6,1,15,310
3,3,5,5,6,3,4,7,6,4,4,4,6,3,35,370
4,3,1,6,7,5,7,3,4,4,4,7,5,5,15,390
5,4,1,6,7,7,5,5,5,2,7,5,5,4,25,410
6,5,3,5,7,3,7,4,6,5,6,7,6,3,40,250
7,5,5,5,6,6,4,3,3,4,6,5,7,4,20,310
8,3,1,5,5,6,5,4,3,4,7,4,7,1,15,230
9,6,5,5,7,3,7,1,3,2,6,4,6,3,15,240
10,2,2,7,5,4,5,5,4,6,4,6,5,3,25,290
11,4,5,7,6,5,7,2,2,6,7,6,6,4,20,230
12,4,3,5,6,7,3,3,5,4,7,6,5,6,15,160
13,4,4,5,7,7,7,4,1,7,7,3,6,4,30,100
14,3,3,5,5,5,6,2,7,2,4,6,6,3,20,210
15,3,6,7,6,5,4,3,3,3,6,7,5,4,30,180
16,4,2,7,7,3,6,4,1,5,6,6,5,4,25,260
17,3,4,7,7,7,6,4,3,3,7,7,7,5,25,320
18,4,3,6,7,3,5,4,2,7,7,4,6,2,30,150
19,4,2,5,6,7,5,3,1,2,4,7,2,4,25,330
20,3,5,5,5,4,7,3,3,2,7,5,5,4,25,290
21,4,5,6,7,2,6,3,3,3,6,5,5,5,20,260
22,4,2,5,5,3,4,3,5,6,4,5,4,2,35,290
23,2,3,6,5,7,7,4,3,5,7,7,4,4,20,340
24,5,7,5,6,6,5,5,4,3,7,5,4,6,15,400
25,5,2,6,4,7,5,5,3,6,7,6,6,3,30,250
26,5,2,6,6,4,3,4,3,4,7,5,6,4,45,430
27,3,2,4,7,3,6,5,3,3,6,6,7,4,15,400
28,2,5,6,6,6,6,2,4,7,6,7,7,5,25,220
29,3,5,5,7,5,7,6,2,6,7,7,7,3,45,170
30,3,3,6,7,5,6,4,2,3,4,7,6,5,15,470
31,2,6,7,6,6,6,4,3,3,5,6,7,4,15,230
32,2,6,7,4,4,5,4,4,7,4,6,7,4,30,170
33,3,4,5,7,5,7,6,4,7,7,5,6,4,20,280
34,3,3,4,7,6,3,2,2,2,3,6,2,3,25,470
35,6,5,7,6,7,6,5,5,2,6,7,3,6,20,340
36,6,5,7,6,5,3,5,6,5,7,5,4,5,25,170
37,4,5,7,6,6,2,7,4,3,7,6,4,3,20,270
38,4,3,3,7,5,5,6,4,4,7,7,5,6,30,290
39,3,2,7,7,7,4,2,1,4,4,7,5,3,30,410
40,3,4,5,7,3,4,3,2,6,7,5,6,4,25,330
41,3,4,6,5,5,6,4,5,5,6,5,4,3,25,290
42,3,6,5,7,4,6,3,3,5,7,5,5,6,25,220
43,5,3,6,5,5,6,6,2,5,7,4,5,4,20,460
44,3,1,6,7,5,4,2,4,4,6,3,6,4,35,360
45,5,5,7,2,4,4,6,3,1,7,7,3,3,25,290
46,6,6,7,3,7,3,4,3,5,7,5,6,4,25,270
47,5,5,6,7,6,7,3,2,5,7,6,4,5,25,250
48,3,2,7,5,4,3,2,4,5,4,7,2,6,50,300
49,4,2,5,7,7,6,5,5,5,7,6,5,6,25,330
50,2,2,7,5,3,4,4,1,4,6,4,5,3,30,100
51,3,3,6,5,2,5,3,4,4,4,6,7,5,15,420
52,2,3,7,7,4,5,5,1,6,7,5,6,2,20,390
53,4,3,6,7,5,4,3,6,4,7,5,1,4,25,200
54,3,6,6,3,7,7,2,2,5,4,7,6,5,30,360
55,3,5,7,5,4,6,4,3,5,5,3,6,7,30,330
56,3,7,5,5,4,5,2,3,4,7,2,3,6,20,410
