"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"1","doc1",1,1,"the","1","the","the","DET","DT","Definite=Def|PronType=Art","0","root",NA,"SpacesAfter=\n"
"2","doc2",1,1,"to","1","to","to","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"3","doc3",1,1,"and","1","and","and","CCONJ","CC",NA,"0","root",NA,"SpacesAfter=\n"
"4","doc4",1,1,"you","1","you","you","PRON","PRP","Case=Nom|Person=2|PronType=Prs","0","root",NA,"SpacesAfter=\n"
"5","doc5",1,1,"i","1","i","I","PRON","PRP","Case=Nom|Number=Sing|Person=1|PronType=Prs","0","root",NA,"SpacesAfter=\n"
"6","doc6",1,1,"is","1","is","be","AUX","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"7","doc7",1,1,"order","1","order","order","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"8","doc8",1,1,"a","1","a","a","DET","DT","Definite=Ind|PronType=Art","0","root",NA,"SpacesAfter=\n"
"9","doc9",1,1,"for","1","for","for","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"10","doc10",1,1,"be","1","be","be","AUX","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n"
"11","doc11",1,1,"of","1","of","of","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"12","doc12",1,1,"this","1","this","this","PRON","DT","Number=Sing|PronType=Dem","0","root",NA,"SpacesAfter=\n"
"13","doc13",1,1,"my","1","my","my","PRON","PRP$","Number=Sing|Person=1|Poss=Yes|PronType=Prs","0","root",NA,"SpacesAfter=\n"
"14","doc14",1,1,"your","1","your","you","PRON","PRP$","Person=2|Poss=Yes|PronType=Prs","0","root",NA,"SpacesAfter=\n"
"15","doc15",1,1,"but","1","but","but","CCONJ","CC",NA,"0","root",NA,"SpacesAfter=\n"
"16","doc16",1,1,"that","1","that","that","PRON","DT","Number=Sing|PronType=Dem","0","root",NA,"SpacesAfter=\n"
